frase,intencao
o que é inteligência artificial,pesquisa_que
o que significa amor,pesquisa_que
o que fazer em campinas,pesquisa_que
o que quer dizer quarentena,pesquisa_que
o que é pandemia,pesquisa_que
o que é biodiversidade,pesquisa_que
o que significa resiliência,pesquisa_que
o que fazer quando estou gripado,pesquisa_que
como fazer bolo,pesquisa_como
como chegar no masp,pesquisa_como
como pegar avião,pesquisa_como
como lavar roupa,pesquisa_como
como dirigir,pesquisa_como
como criar uma rotina de exercício,pesquisa_como
como abrir um negócio,pesquisa_como
como ajudar pessoas que estão tristes,pesquisa_como
quando é o Natal,pesquisa_quando
quando foi a revolução francesa,pesquisa_quando
quando consigo visitar as pirâmides,pesquisa_quando
quando tenho que fazer vistoria no carro,pesquisa_quando
quando sei que tenho que parar,pesquisa_quando
quando chega minha encomenda,pesquisa_quando
quando fazer uma visita a alguém,pesquisa_quando
quando abre o supermercado,pesquisa_quando
onde fica o Everest?,pesquisa_onde
onde é o banco,pesquisa_onde
onde está localizado as pirâmides,pesquisa_onde
onde consigo achar um restaurante,pesquisa_onde
onde coloco o parafuso,pesquisa_onde
onde falo com o atendimento,pesquisa_onde
onde tem um banheiro,pesquisa_onde
onde está a minha encomenda,pesquisa_onde
por que a Terra é redonda?,pesquisa_por_que
por que o preço do dólar sobe,pesquisa_por_que
por que é saudável comer frutas,pesquisa_por_que
por que é importante fazer exercícios,pesquisa_por_que
por que eu tenho que dormir,pesquisa_por_que
por que não consigo correr muito,pesquisa_por_que
porque o céu é azul,pesquisa_por_que
porque a vida existe,pesquisa_por_que
quanto custa uma McLaren,pesquisa_quanto
quanto tenho que dormir por noite,pesquisa_quanto
quanto tempo tenho que me exercitar,pesquisa_quanto
quanto é o dólar hoje,pesquisa_quanto
quanto está um carro de luxo,pesquisa_quanto
quanto sai uma impressora 3d,pesquisa_quanto
quantas músicas existem,pesquisa_quanto
quantas pessoas tem no mundo,pesquisa_quanto
quem foi Michael Jackson?,pesquisa_quem
quem é o presidente,pesquisa_quem
quem está responsável pelo filho,pesquisa_quem
quem escreveu o livro,pesquisa_quem
quem é o diretor do filme,pesquisa_quem
quem atua na série,pesquisa_quem
quem sabe consertar isso,pesquisa_quem
quem vai tocar no festival,pesquisa_quem
quão grande é o sol,pesquisa_quao
quão quente é um fogão,pesquisa_quao
quão caro é uma moto,pesquisa_quao
quão alto é o prédio,pesquisa_quao
quão bom é o filme,pesquisa_quao
quão ruim é esta comida,pesquisa_quao
quão bonito é o país,pesquisa_quao
quão inteligente foi o cientista,pesquisa_quao
fale para Katia que não poderei ir hoje,envio_mensagem
diga para o Douglas que estou a caminho,envio_mensagem
envie para Marina que vamos almoçar fora,envio_mensagem
mande para Flávia como faço arroz?,envio_mensagem
escreva para Nathan acho que ganha hoje,envio_mensagem
comunique para Paloma que chegarei atrasado,envio_mensagem
informe Celso que vou entrar em quinze minutos,envio_mensagem
converse com Larissa e fale que não conheço a pessoa,envio_mensagem
quem falou comigo?,recebimento_mensagem
quais mensagens não li?,recebimento_mensagem
me diga quais são as novas mensagens,recebimento_mensagem
tenho algum recado não lido?,recebimento_mensagem
alguém me mandou uma mensagem?,recebimento_mensagem
me fale as mensagens que me enviaram,recebimento_mensagem
me diga quem falou comigo,recebimento_mensagem
fale quem me mandou mensagens,recebimento_mensagem
